Memory Length,4000,
Trigger Level,0.000E+00,
Source,CH1,
Probe,1X,
Vertical Units,V,
Vertical Scale,5.000E-01,
Vertical Position,0.000E+00,
Horizontal Units,s,
Horizontal Scale,1.000E-05,
Horizontal Position,0.000E+00,
Horizontal Mode,Main,
Sampling Period,4.000E-08,
Firmware,V1.11,
Time, ,
Mode,Fast,
Waveform Data,
-21,
-21,
-24,
-24,
-23,
-21,
-21,
-20,
-19,
-19,
-19,
-17,
-17,
-16,
-16,
-16,
-16,
-15,
-15,
-15,
-15,
-15,
-15,
-14,
-14,
-14,
-13,
-12,
-13,
-11,
-10,
-10,
-9,
-8,
-8,
-8,
-7,
-6,
-5,
-5,
-5,
-4,
-3,
-2,
-2,
-2,
-1,
-1,
0,
1,
2,
2,
4,
5,
6,
7,
7,
8,
9,
9,
9,
10,
10,
11,
11,
12,
12,
12,
13,
14,
14,
15,
16,
17,
17,
18,
19,
20,
20,
20,
21,
22,
23,
23,
23,
23,
24,
24,
24,
24,
24,
23,
23,
22,
21,
21,
20,
19,
18,
17,
16,
15,
14,
13,
12,
12,
10,
9,
9,
7,
6,
5,
4,
3,
2,
0,
-1,
-2,
-4,
-5,
-6,
-7,
-8,
-9,
-10,
-10,
-12,
-12,
-13,
-13,
-15,
-16,
-16,
-18,
-19,
-21,
-21,
-22,
-24,
-24,
-25,
-27,
-28,
-29,
-29,
-31,
-32,
-33,
-33,
-34,
-35,
-35,
-36,
-38,
-38,
-39,
-38,
-40,
-40,
-40,
-40,
-41,
-42,
-42,
-41,
-42,
-42,
-42,
-41,
-41,
-40,
-40,
-39,
-38,
-38,
-38,
-38,
-37,
-36,
-35,
-35,
-34,
-33,
-32,
-31,
-30,
-30,
-29,
-28,
-28,
-27,
-26,
-25,
-25,
-24,
-23,
-23,
-22,
-22,
-21,
-21,
-21,
-20,
-20,
-20,
-18,
-19,
-17,
-16,
-15,
-14,
-13,
-12,
-10,
-9,
-8,
-8,
-6,
-6,
-6,
-5,
-4,
-3,
-3,
-2,
-1,
0,
0,
1,
1,
3,
3,
4,
4,
6,
7,
8,
9,
10,
11,
12,
13,
15,
16,
17,
19,
20,
21,
23,
24,
25,
26,
28,
29,
30,
32,
34,
35,
36,
39,
40,
41,
43,
43,
44,
46,
46,
46,
47,
47,
48,
48,
49,
48,
50,
50,
50,
51,
52,
52,
52,
52,
52,
51,
51,
51,
51,
51,
51,
51,
51,
51,
50,
50,
50,
49,
49,
49,
48,
48,
48,
47,
47,
46,
45,
45,
44,
44,
43,
43,
43,
42,
42,
42,
41,
41,
41,
41,
40,
40,
39,
39,
39,
39,
38,
37,
37,
36,
36,
36,
35,
36,
35,
35,
35,
35,
34,
34,
34,
34,
34,
35,
35,
35,
35,
35,
37,
37,
37,
38,
38,
39,
39,
38,
39,
39,
38,
37,
37,
36,
36,
35,
34,
33,
33,
32,
32,
31,
31,
31,
29,
29,
28,
27,
26,
25,
24,
23,
22,
21,
21,
21,
21,
21,
21,
21,
21,
21,
20,
21,
21,
20,
20,
20,
20,
20,
20,
19,
19,
19,
19,
18,
18,
17,
17,
16,
16,
15,
15,
13,
12,
11,
12,
10,
9,
8,
8,
8,
7,
6,
4,
3,
1,
0,
0,
-2,
-3,
-4,
-5,
-6,
-7,
-8,
-9,
-10,
-10,
-12,
-13,
-13,
-15,
-15,
-16,
-16,
-18,
-19,
-20,
-21,
-22,
-23,
-24,
-25,
-26,
-27,
-28,
-30,
-30,
-31,
-31,
-32,
-33,
-34,
-35,
-35,
-35,
-36,
-36,
-37,
-36,
-36,
-37,
-36,
-36,
-35,
-34,
-33,
-32,
-31,
-30,
-29,
-29,
-28,
-27,
-26,
-25,
-25,
-24,
-24,
-23,
-23,
-22,
-23,
-23,
-23,
-22,
-21,
-21,
-20,
-19,
-18,
-18,
-19,
-18,
-18,
-18,
-18,
-18,
-18,
-18,
-18,
-17,
-18,
-18,
-18,
-19,
-19,
-19,
-20,
-20,
-20,
-21,
-21,
-21,
-21,
-21,
-21,
-21,
-21,
-21,
-20,
-21,
-20,
-21,
-21,
-20,
-20,
-21,
-21,
-22,
-22,
-23,
-23,
-24,
-24,
-25,
-27,
-27,
-28,
-28,
-29,
-29,
-31,
-31,
-32,
-32,
-32,
-33,
-32,
-32,
-32,
-33,
-32,
-32,
-32,
-32,
-32,
-32,
-31,
-31,
-32,
-31,
-31,
-29,
-30,
-29,
-28,
-27,
-26,
-25,
-25,
-24,
-23,
-23,
-22,
-21,
-20,
-20,
-19,
-17,
-16,
-15,
-14,
-12,
-11,
-10,
-8,
-7,
-6,
-4,
-3,
-2,
0,
0,
1,
2,
2,
2,
3,
4,
3,
4,
4,
5,
4,
5,
5,
6,
7,
6,
7,
7,
6,
7,
7,
7,
6,
7,
7,
7,
8,
9,
10,
11,
12,
12,
15,
15,
16,
17,
19,
19,
20,
20,
20,
20,
21,
22,
22,
22,
23,
22,
23,
22,
23,
23,
22,
22,
22,
21,
21,
21,
20,
20,
20,
19,
19,
18,
18,
18,
17,
17,
16,
17,
16,
17,
17,
16,
16,
16,
16,
16,
15,
15,
14,
13,
13,
12,
11,
11,
9,
9,
8,
7,
6,
4,
3,
2,
2,
0,
0,
-1,
-3,
-4,
-4,
-5,
-5,
-6,
-6,
-6,
-6,
-7,
-6,
-6,
-7,
-7,
-7,
-7,
-8,
-8,
-8,
-8,
-9,
-9,
-9,
-9,
-9,
-9,
-10,
-10,
-10,
-11,
-11,
-11,
-11,
-11,
-11,
-11,
-11,
-11,
-10,
-10,
-11,
-10,
-10,
-10,
-10,
-9,
-10,
-10,
-9,
-9,
-8,
-8,
-8,
-8,
-7,
-7,
-7,
-7,
-7,
-8,
-7,
-8,
-8,
-8,
-9,
-10,
-11,
-11,
-11,
-12,
-13,
-14,
-14,
-16,
-18,
-17,
-18,
-20,
-19,
-20,
-21,
-22,
-22,
-23,
-24,
-26,
-27,
-28,
-28,
-30,
-31,
-31,
-33,
-33,
-33,
-33,
-34,
-34,
-36,
-36,
-36,
-36,
-37,
-37,
-37,
-37,
-37,
-38,
-37,
-38,
-38,
-38,
-39,
-39,
-38,
-40,
-40,
-40,
-40,
-40,
-39,
-39,
-39,
-38,
-39,
-38,
-38,
-36,
-36,
-35,
-34,
-35,
-34,
-34,
-34,
-33,
-33,
-33,
-33,
-32,
-32,
-32,
-31,
-31,
-30,
-29,
-29,
-28,
-28,
-27,
-27,
-27,
-27,
-26,
-26,
-26,
-26,
-27,
-27,
-27,
-26,
-25,
-25,
-25,
-25,
-24,
-24,
-24,
-24,
-24,
-23,
-23,
-23,
-23,
-24,
-23,
-23,
-23,
-23,
-23,
-23,
-23,
-23,
-24,
-23,
-24,
-23,
-23,
-23,
-22,
-22,
-22,
-22,
-21,
-21,
-21,
-20,
-21,
-19,
-19,
-18,
-17,
-17,
-16,
-16,
-15,
-14,
-14,
-13,
-14,
-13,
-12,
-12,
-11,
-10,
-9,
-8,
-6,
-5,
-4,
-2,
-2,
-2,
-1,
0,
1,
2,
2,
3,
3,
3,
3,
3,
3,
3,
3,
3,
3,
3,
4,
3,
4,
4,
5,
6,
6,
6,
6,
5,
5,
5,
5,
5,
4,
4,
4,
4,
4,
5,
6,
6,
5,
7,
8,
8,
8,
9,
10,
10,
11,
11,
11,
11,
11,
12,
12,
13,
13,
14,
14,
14,
15,
15,
16,
16,
16,
17,
17,
18,
17,
18,
18,
18,
18,
18,
18,
18,
17,
17,
16,
15,
15,
14,
13,
12,
12,
11,
11,
10,
10,
9,
9,
8,
8,
7,
6,
4,
4,
3,
1,
1,
0,
-1,
-1,
-2,
-3,
-4,
-5,
-5,
-7,
-8,
-8,
-9,
-11,
-11,
-13,
-13,
-14,
-15,
-16,
-16,
-18,
-18,
-19,
-20,
-21,
-22,
-22,
-23,
-23,
-24,
-25,
-26,
-28,
-29,
-29,
-30,
-31,
-32,
-33,
-34,
-35,
-35,
-36,
-36,
-35,
-35,
-35,
-35,
-35,
-36,
-36,
-36,
-36,
-36,
-36,
-36,
-38,
-38,
-38,
-39,
-40,
-40,
-40,
-40,
-41,
-41,
-41,
-41,
-41,
-41,
-42,
-43,
-42,
-43,
-43,
-43,
-44,
-44,
-45,
-45,
-46,
-46,
-47,
-47,
-47,
-47,
-47,
-47,
-46,
-46,
-45,
-45,
-44,
-44,
-43,
-43,
-42,
-42,
-42,
-42,
-41,
-41,
-41,
-40,
-41,
-40,
-40,
-40,
-40,
-40,
-40,
-41,
-41,
-43,
-43,
-43,
-44,
-44,
-45,
-46,
-45,
-45,
-45,
-45,
-44,
-43,
-43,
-42,
-43,
-42,
-41,
-41,
-40,
-41,
-41,
-40,
-40,
-40,
-38,
-38,
-37,
-36,
-36,
-34,
-33,
-32,
-32,
-30,
-29,
-29,
-27,
-27,
-26,
-25,
-24,
-24,
-23,
-22,
-21,
-21,
-20,
-20,
-20,
-20,
-19,
-18,
-17,
-17,
-16,
-16,
-16,
-15,
-14,
-13,
-13,
-11,
-11,
-10,
-9,
-8,
-8,
-7,
-5,
-4,
-4,
-4,
-3,
-3,
-2,
-2,
-1,
0,
1,
2,
2,
3,
4,
5,
6,
7,
7,
8,
8,
9,
9,
10,
10,
10,
10,
12,
11,
12,
12,
13,
13,
14,
15,
14,
15,
15,
15,
15,
14,
15,
16,
15,
16,
15,
16,
16,
16,
16,
15,
15,
15,
15,
14,
15,
14,
14,
13,
12,
13,
12,
11,
11,
11,
10,
9,
9,
8,
8,
7,
7,
6,
5,
6,
5,
5,
6,
6,
8,
7,
8,
9,
10,
11,
11,
13,
14,
15,
15,
16,
17,
17,
18,
18,
18,
19,
18,
19,
19,
20,
20,
21,
21,
21,
21,
21,
22,
22,
23,
23,
23,
23,
23,
23,
22,
23,
22,
23,
23,
23,
23,
23,
23,
24,
24,
24,
26,
26,
26,
27,
27,
28,
28,
29,
29,
29,
30,
30,
30,
30,
30,
30,
31,
31,
29,
29,
29,
29,
30,
29,
30,
29,
30,
30,
30,
31,
29,
30,
29,
28,
28,
28,
28,
28,
27,
26,
26,
26,
26,
25,
25,
25,
24,
24,
23,
23,
22,
23,
22,
21,
20,
21,
20,
19,
19,
18,
18,
16,
16,
15,
13,
12,
11,
10,
10,
9,
8,
7,
5,
4,
4,
3,
2,
1,
0,
0,
-1,
-1,
-2,
-3,
-4,
-5,
-5,
-6,
-6,
-8,
-8,
-8,
-9,
-9,
-10,
-9,
-9,
-10,
-10,
-10,
-10,
-9,
-9,
-9,
-8,
-9,
-8,
-7,
-7,
-6,
-6,
-5,
-4,
-4,
-4,
-2,
-2,
-2,
-1,
-1,
0,
0,
0,
0,
1,
1,
1,
3,
3,
4,
4,
5,
5,
6,
5,
6,
6,
7,
7,
7,
6,
5,
4,
4,
3,
3,
2,
2,
2,
2,
2,
2,
2,
1,
3,
1,
1,
0,
0,
0,
0,
0,
0,
0,
0,
1,
0,
1,
0,
1,
1,
0,
1,
0,
1,
0,
0,
0,
-1,
0,
-1,
-1,
-1,
-1,
0,
-1,
-1,
0,
0,
0,
0,
0,
0,
1,
1,
1,
1,
1,
1,
2,
1,
1,
1,
0,
0,
0,
0,
0,
1,
1,
1,
2,
1,
2,
2,
2,
2,
1,
1,
1,
1,
1,
1,
0,
0,
0,
0,
0,
1,
2,
2,
2,
3,
3,
3,
3,
3,
4,
3,
3,
3,
3,
3,
4,
4,
4,
4,
4,
4,
4,
5,
7,
6,
7,
7,
8,
8,
8,
8,
9,
9,
10,
11,
11,
12,
12,
14,
14,
16,
16,
17,
18,
19,
20,
21,
22,
24,
24,
25,
26,
27,
28,
28,
29,
29,
30,
30,
30,
30,
31,
31,
31,
30,
30,
30,
29,
29,
30,
29,
30,
30,
31,
30,
31,
30,
30,
30,
30,
30,
30,
30,
30,
30,
29,
30,
30,
31,
31,
32,
32,
31,
32,
32,
33,
34,
33,
34,
34,
35,
35,
35,
36,
37,
37,
37,
38,
39,
38,
38,
39,
38,
37,
37,
37,
37,
37,
37,
36,
36,
36,
35,
35,
36,
36,
36,
36,
36,
36,
36,
36,
37,
36,
36,
36,
35,
36,
36,
36,
35,
35,
35,
35,
34,
34,
34,
34,
33,
33,
32,
32,
32,
32,
31,
30,
30,
30,
29,
28,
28,
28,
28,
28,
27,
27,
26,
25,
26,
24,
23,
23,
22,
21,
20,
19,
19,
17,
16,
15,
15,
14,
14,
12,
11,
11,
10,
10,
9,
8,
8,
6,
5,
4,
2,
1,
0,
-1,
-2,
-3,
-4,
-5,
-6,
-7,
-8,
-9,
-10,
-12,
-12,
-13,
-14,
-15,
-16,
-16,
-18,
-18,
-19,
-19,
-21,
-21,
-22,
-23,
-23,
-24,
-24,
-25,
-26,
-26,
-26,
-25,
-25,
-25,
-25,
-24,
-23,
-23,
-22,
-22,
-22,
-22,
-22,
-22,
-22,
-23,
-22,
-22,
-22,
-22,
-22,
-22,
-21,
-21,
-21,
-21,
-21,
-20,
-20,
-20,
-20,
-20,
-19,
-20,
-20,
-20,
-19,
-19,
-18,
-19,
-17,
-17,
-17,
-16,
-15,
-14,
-14,
-14,
-13,
-13,
-13,
-12,
-12,
-11,
-12,
-10,
-10,
-9,
-8,
-8,
-6,
-4,
-4,
-3,
-3,
-2,
-2,
-2,
-2,
-2,
-2,
-3,
-3,
-4,
-4,
-4,
-6,
-6,
-7,
-8,
-9,
-10,
-11,
-12,
-12,
-15,
-15,
-16,
-18,
-19,
-21,
-22,
-24,
-25,
-26,
-27,
-28,
-27,
-28,
-28,
-28,
-29,
-29,
-30,
-31,
-31,
-31,
-32,
-33,
-33,
-33,
-34,
-34,
-34,
-34,
-35,
-35,
-35,
-37,
-38,
-39,
-39,
-40,
-40,
-40,
-40,
-40,
-40,
-40,
-41,
-41,
-42,
-43,
-42,
-43,
-44,
-45,
-46,
-46,
-47,
-48,
-47,
-47,
-47,
-47,
-47,
-47,
-47,
-47,
-48,
-48,
-48,
-47,
-48,
-48,
-48,
-48,
-48,
-48,
-47,
-46,
-45,
-45,
-44,
-43,
-42,
-41,
-40,
-39,
-38,
-36,
